system,time_s,coordinate_name,coordinate_units,coordinate,velocity,acceleration,force_N,kinetic_energy_J,potential_energy_J,total_energy_J,period_s,frequency_Hz,angular_frequency_rad_s,amplitude,mass_kg,stiffness_or_length,damping,driving_force_or_torque,driving_frequency_rad_s
Simple Pendulum,1.7099257664910212,theta,rad,-0.09677732914603611,-0.10233034580931569,0.20556461960596167,0.616693858817885,0.04712174853054361,0.1377109718299504,0.184832720360494,3.4773419933176917,0.28757597093460213,1.8068931152741958,0.11213388076679486,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.7221225664640472,theta,rad,-0.09801004476734021,-0.09979926988574167,0.20946685199415643,0.6284005559824692,0.04481952421377197,0.1412387164499609,0.18605824066373286,3.4773601437893933,0.2875744698995334,1.8068836839927065,0.11250540579413398,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.7721225664640472,theta,rad,-0.10273163675287025,-0.08893543988023996,0.22494112929032756,0.6748233878709826,0.03559280610011299,0.15516247322026466,0.19075527932037767,3.477429712859125,0.28756871671686646,1.806847535679904,0.11391817223688996,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.8074706664696962,theta,rad,-0.10573261718572224,-0.08079923693903593,0.23532481558393725,0.7059744467518118,0.029378325104687106,0.16435147194167843,0.19372979704636553,3.477473772460295,0.287565073220525,1.8068246429172246,0.11480388991653306,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.8574706664696963,theta,rad,-0.1094725583287517,-0.06868334737132686,0.2491301229121084,0.7473903687363253,0.021228309927586588,0.17617206053400067,0.19740037046158726,3.477528145746551,0.2875605769641647,1.8067963921053243,0.11588758120057001,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.894013166489701,theta,rad,-0.1118139599286335,-0.05940633383560205,0.25850221958617187,0.7755066587585155,0.015881006249041485,0.18378065735107962,0.1996616636001211,3.4775616448536053,0.2875578069133256,1.806778987362592,0.11655020643506611,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.9440131664897011,theta,rad,-0.11445612032692518,-0.04618218448679782,0.27024793880865133,0.810743816425954,0.009597573737876832,0.19255914278608216,0.202156716523959,3.4775986085958257,0.28755475043273526,1.806759782928655,0.11727700537533801,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.9805277665300922,theta,rad,-0.1159605225367573,-0.03617081201132438,0.27797689020693755,0.8339306706208127,0.005887474387013557,0.19764866341270554,0.2035361377997191,3.477619045223104,0.2875530605842555,1.8067491652975156,0.11767690718809524,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.030527766530092,theta,rad,-0.1174175493117609,-0.022032498184281296,0.2873063132853092,0.8619189398559276,0.002184439393081614,0.20264097608186857,0.20482541547495017,3.477638146828969,0.2875514811429805,1.806739241375303,0.1180494567220002,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.0640413665367916,theta,rad,-0.11799354935758971,-0.01231149121930308,0.2926978817796859,0.8780936453390578,0.0006820776721933957,0.20463167884815614,0.20531375652034953,3.477645382087403,0.28755088289070047,1.806735482445367,0.11819026248039363,1.0,3.0,0.05,1.0,1.808
